source;name;description;article;product_code;availability;image;url
nnz-ipc.ru;SDS-G3016-T;Доступно к заказу SDS-G3016-T Конфигурируемый Ethernet-коммутатор с 16 портами 10/100/1000BaseT(X), с расширенным диапазоном температур 6163544 MOXA Сравнить В закладки 1 423.13 $ 119 823.99 ₽;6163544;;;https://nnz-ipc.ru/images/cms/thumbs/d7041a30ee49917a2858b78b36d48f1fe2465dcb/3bb42b52826311efb91f00155d50c111_5c381392826311efb91f00155d50c111_270_auto_jpg__80.jpg.webp;https://nnz-ipc.ru/catalogue/comm/ethernet/?pa=3&filter%5Bc5de0343-a8d4-46b6-9651-07eb9bc5f57e%5D%5B113823%5D=MOXA%E2%80%83
nnz-ipc.ru;SDS-G3016-2GSFP;Доступно к заказу SDS-G3016-2GSFP Конфигурируемый Ethernet-коммутатор с 14 портами 10/100/1000BaseT(X) и 2 слотами 100/1000BaseSFP 6163545 MOXA Сравнить В закладки 1 460.34 $ 122 956.98 ₽;6163545;;;https://nnz-ipc.ru/images/cms/thumbs/46c16889c7d4d8641f1816b5b34f456e2f99bc1e/f1ec2cf8826311efb91f00155d50c111_f9b7cbe2826311efb91f00155d50c111_270_auto_jpg__80.jpg.webp;https://nnz-ipc.ru/catalogue/comm/ethernet/?pa=3&filter%5Bc5de0343-a8d4-46b6-9651-07eb9bc5f57e%5D%5B113823%5D=MOXA%E2%80%83
nnz-ipc.ru;SDS-G3016-2GSFP-T;Доступно к заказу SDS-G3016-2GSFP-T Конфигурируемый Ethernet-коммутатор с 14 портами 10/100/1000BaseT(X) и 2 слотами 100/1000BaseSFP, с расширенным диапазоном температур 6163546 MOXA Сравнить В закладки 1 593.32 $ 134 153.56 ₽;6163546;;;https://nnz-ipc.ru/images/cms/thumbs/74700e02a416c451f3cd24e4f08c14f471d429a2/c9cd9bd8826411efb91f00155d50c111_dcaef604826411efb91f00155d50c111_270_auto_jpg__80.jpg.webp;https://nnz-ipc.ru/catalogue/comm/ethernet/?pa=3&filter%5Bc5de0343-a8d4-46b6-9651-07eb9bc5f57e%5D%5B113823%5D=MOXA%E2%80%83
nnz-ipc.ru;SDS-G3010-2GTXSFP;В пути SDS-G3010-2GTXSFP Конфигурируемый Ethernet-коммутатор с 8 портами 10/100/1000BaseT(X) и 2 combo-портами 10/100/1000BaseT(X) или 100/1000BaseSFP 6163547 MOXA Сравнить В закладки 1 157.17 $ 97 430.82 ₽;6163547;;;https://nnz-ipc.ru/images/cms/thumbs/1f7f1979e4a3512849526e80292d73752ff23edf/73f49535826511efb91f00155d50c111_73f49537826511efb91f00155d50c111_270_auto_jpg__80.jpg.webp;https://nnz-ipc.ru/catalogue/comm/ethernet/?pa=3&filter%5Bc5de0343-a8d4-46b6-9651-07eb9bc5f57e%5D%5B113823%5D=MOXA%E2%80%83
nnz-ipc.ru;SDS-G3010-2GTXSFP-T;Доступно к заказу SDS-G3010-2GTXSFP-T Конфигурируемый Ethernet-коммутатор с 8 портами 10/100/1000BaseT(X) и 2 combo-портами 10/100/1000BaseT(X) или 100/1000BaseSFP, с расширенным диапазоном температур 6163549 MOXA Сравнить В закладки 1 287.10 $ 108 370.60 ₽;6163549;;;https://nnz-ipc.ru/images/cms/thumbs/543424152321caa1e141597829a4cc6d7c570df5/cec4d832826611efb91f00155d50c111_cec4d834826611efb91f00155d50c111_270_auto_jpg__80.jpg.webp;https://nnz-ipc.ru/catalogue/comm/ethernet/?pa=3&filter%5Bc5de0343-a8d4-46b6-9651-07eb9bc5f57e%5D%5B113823%5D=MOXA%E2%80%83
nnz-ipc.ru;SDS-3006-4PoE-2GTXSFP;Доступно к заказу SDS-3006-4PoE-2GTXSFP Конфигурируемый Ethernet-коммутатор с 4 портами 10/100BaseT(X) и 2 combo-портами 10/100/1000BaseT(X) или 100/1000BaseSFP 6164243 MOXA Сравнить В закладки 1 374.94 $ 115 766.51 ₽;6164243;;;https://nnz-ipc.ru/images/cms/thumbs/2f7009c82548630a7c35c199c5550444a29fbac2/629c05f7985911efb91f00155d50c111_bd6e6fa89c1b11efb91f00155d50c111_270_auto_jpg__80.jpg.webp;https://nnz-ipc.ru/catalogue/comm/ethernet/?pa=3&filter%5Bc5de0343-a8d4-46b6-9651-07eb9bc5f57e%5D%5B113823%5D=MOXA%E2%80%83
nnz-ipc.ru;SDS-3006-4PoE-2GTXSFP-T;Доступно к заказу SDS-3006-4PoE-2GTXSFP-T Конфигурируемый Ethernet-коммутатор с 4 портами 10/100BaseT(X) и 2 combo-портами 10/100/1000BaseT(X) или 100/1000BaseSFP, с расширенным диапазоном температур 6164244 MOXA Сравнить В закладки 1 512.80 $ 127 373.98 ₽;6164244;;;https://nnz-ipc.ru/images/cms/thumbs/d62462e128b8448a73fd4f6d6e4ff46a12c67c1e/e3f6ff8e985911efb91f00155d50c111_28da58a89c1d11efb91f00155d50c111_270_auto_jpg__80.jpg.webp;https://nnz-ipc.ru/catalogue/comm/ethernet/?pa=3&filter%5Bc5de0343-a8d4-46b6-9651-07eb9bc5f57e%5D%5B113823%5D=MOXA%E2%80%83
nnz-ipc.ru;SDS-3010-8PoE-2GTXSFP;Доступно к заказу SDS-3010-8PoE-2GTXSFP Конфигурируемый Ethernet-коммутатор с 8 портами 10/100BaseT(X) и 2 combo-портами 10/100/1000BaseT(X) или 100/1000BaseSFP 6164245 MOXA Сравнить В закладки 1 515.24 $ 127 579.42 ₽;6164245;;;https://nnz-ipc.ru/images/cms/thumbs/0e763d82d2adac8b6acd818b2ff6fcf2d247c4af/200402ed985a11efb91f00155d50c111_9ae0aa909c1d11efb91f00155d50c111_270_auto_jpg__80.jpg.webp;https://nnz-ipc.ru/catalogue/comm/ethernet/?pa=3&filter%5Bc5de0343-a8d4-46b6-9651-07eb9bc5f57e%5D%5B113823%5D=MOXA%E2%80%83
nnz-ipc.ru;SDS-3010-8PoE-2GTXSFP-T;Доступно к заказу SDS-3010-8PoE-2GTXSFP-T Конфигурируемый Ethernet-коммутатор с 8 портами 10/100BaseT(X) и 2 combo-портами 10/100/1000BaseT(X) или 100/1000BaseSFP, с расширенным диапазоном температур 6164246 MOXA Сравнить В закладки 1 664.08 $ 140 111.38 ₽;6164246;;;https://nnz-ipc.ru/images/cms/thumbs/6f6a7aa007683dadd699969c911d04f89579881a/7fb385f5985b11efb91f00155d50c111_adc8a7e29c1d11efb91f00155d50c111_270_auto_jpg__80.jpg.webp;https://nnz-ipc.ru/catalogue/comm/ethernet/?pa=3&filter%5Bc5de0343-a8d4-46b6-9651-07eb9bc5f57e%5D%5B113823%5D=MOXA%E2%80%83
nnz-ipc.ru;SDS-G3006-4PoE-2GTXSFP;Доступно к заказу SDS-G3006-4PoE-2GTXSFP Конфигурируемый Ethernet-коммутатор с 4 портами 10/100/1000BaseT(X) и 2 combo-портами 10/100/1000BaseT(X) или 100/1000BaseSFP 6164247 MOXA Сравнить В закладки 1 494.50 $ 125 833.16 ₽;6164247;;;https://nnz-ipc.ru/images/cms/thumbs/2ae37496c9f0a5a59178026a00b75c71f4c80a02/efd81654985b11efb91f00155d50c111_fe8b02c69c1d11efb91f00155d50c111_270_auto_jpg__80.jpg.webp;https://nnz-ipc.ru/catalogue/comm/ethernet/?pa=3&filter%5Bc5de0343-a8d4-46b6-9651-07eb9bc5f57e%5D%5B113823%5D=MOXA%E2%80%83
