source;name;description;article;product_code;availability;image;url
nnz-ipc.ru;Коммутатор SDS-G3016-T;Конфигурируемый Ethernet-коммутатор с 16 портами 10/100/1000BaseT(X), с расширенным диапазоном температур;6163544;;;"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==";https://nnz-ipc.ru/catalogue/comm/ethernet/managed/sds-g3016-t/
nnz-ipc.ru;Коммутатор SDS-G3016-2GSFP;Конфигурируемый Ethernet-коммутатор с 14 портами 10/100/1000BaseT(X) и 2 слотами 100/1000BaseSFP;6163545;;;"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==";https://nnz-ipc.ru/catalogue/comm/ethernet/managed/sds-g3016-2gsfp/
nnz-ipc.ru;Коммутатор SDS-G3016-2GSFP-T;Конфигурируемый Ethernet-коммутатор с 14 портами 10/100/1000BaseT(X) и 2 слотами 100/1000BaseSFP, с расширенным диапазоном температур;6163546;;;"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==";https://nnz-ipc.ru/catalogue/comm/ethernet/managed/sds-g3016-2gsfp-t/
nnz-ipc.ru;Коммутатор SDS-G3010-2GTXSFP;Конфигурируемый Ethernet-коммутатор с 8 портами 10/100/1000BaseT(X) и 2 combo-портами 10/100/1000BaseT(X) или 100/1000BaseSFP;6163547;;;"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==";https://nnz-ipc.ru/catalogue/comm/ethernet/managed/sds-g3010-2gtxsfp/
nnz-ipc.ru;Коммутатор SDS-G3010-2GTXSFP-T;Конфигурируемый Ethernet-коммутатор с 8 портами 10/100/1000BaseT(X) и 2 combo-портами 10/100/1000BaseT(X) или 100/1000BaseSFP, с расширенным диапазоном температур;6163549;;;"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==";https://nnz-ipc.ru/catalogue/comm/ethernet/managed/sds-g3010-2gtxsfp-t/
nnz-ipc.ru;Коммутатор SDS-3006-4PoE-2GTXSFP;Конфигурируемый Ethernet-коммутатор с 4 портами 10/100BaseT(X) и 2 combo-портами 10/100/1000BaseT(X) или 100/1000BaseSFP;6164243;;;"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==";https://nnz-ipc.ru/catalogue/comm/ethernet/managed/sds-3006-2gtxsfp1/
nnz-ipc.ru;Коммутатор SDS-3006-4PoE-2GTXSFP-T;Конфигурируемый Ethernet-коммутатор с 4 портами 10/100BaseT(X) и 2 combo-портами 10/100/1000BaseT(X) или 100/1000BaseSFP, с расширенным диапазоном температур;6164244;;;"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==";https://nnz-ipc.ru/catalogue/comm/ethernet/managed/sds-3006-4poe-2gtxsfp-t/
nnz-ipc.ru;Коммутатор SDS-3010-8PoE-2GTXSFP;Конфигурируемый Ethernet-коммутатор с 8 портами 10/100BaseT(X) и 2 combo-портами 10/100/1000BaseT(X) или 100/1000BaseSFP;6164245;;;"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==";https://nnz-ipc.ru/catalogue/comm/ethernet/managed/sds-3010-8poe-2gtxsfp/
nnz-ipc.ru;Коммутатор SDS-3010-8PoE-2GTXSFP-T;Конфигурируемый Ethernet-коммутатор с 8 портами 10/100BaseT(X) и 2 combo-портами 10/100/1000BaseT(X) или 100/1000BaseSFP, с расширенным диапазоном температур;6164246;;;"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==";https://nnz-ipc.ru/catalogue/comm/ethernet/managed/sds-3010-8poe-2gtxsfp-t/
nnz-ipc.ru;Коммутатор SDS-G3006-4PoE-2GTXSFP;Конфигурируемый Ethernet-коммутатор с 4 портами 10/100/1000BaseT(X) и 2 combo-портами 10/100/1000BaseT(X) или 100/1000BaseSFP;6164247;;;"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==";https://nnz-ipc.ru/catalogue/comm/ethernet/managed/sds-g3006-4poe-2gtxsfp/
